orient	plane_conv_name	i	b_conv_name	j	plane	b	phi(orient_vs_plane)	lambda(orient_vs_b)	Schmid	b_norm	GSF_barrier	GSF_shift	abs(Schmid)	m/b2	m/(b2*GSF)
[1, 1, -2, 1.8726]	basal	1	a	1	0 0 0 1	-1 2 -1 0	45.0	69.3	0.2499999995852065	3.2494	1070.4	0.001	0.250	0.0237	0.000022
[1, 1, -2, 1.8726]	basal	1	a	2	0 0 0 1	-1 -1 2 0	45.0	135.0	-0.499999999170413	3.2494	1070.4	0.001	0.500	0.0474	0.000044
[1, 1, -2, 1.8726]	basal	1	a	3	0 0 0 1	-2 1 1 0	45.0	110.7	-0.2499999995852065	3.2494	1070.4	0.001	0.250	0.0237	0.000022
[1, 1, -2, 1.8726]	basal	1	b	1	0 0 0 1	-1 0 1 0	45.0	127.8	-0.4330127011658937	5.6281258941143095	1385.3	0.001	0.433	0.0137	0.000010
[1, 1, -2, 1.8726]	basal	1	b	2	0 0 0 1	0 -1 1 0	45.0	127.8	-0.4330127011658937	5.6281258941143095	1385.3	0.001	0.433	0.0137	0.000010
[1, 1, -2, 1.8726]	basal	1	p_{part}	1	0 0 0 1	-1 0 1 0	45.0	127.8	-0.4330127011658937	1.87604196470477	N/A	N/A	0.433	0.1230	N/A
[1, 1, -2, 1.8726]	basal	1	p_{part}	2	0 0 0 1	0 -1 1 0	45.0	127.8	-0.4330127011658937	1.87604196470477	N/A	N/A	0.433	0.1230	N/A
[1, 1, -2, 1.8726]	prismatic_m	1	a	1	-1 0 1 0	-1 2 -1 0	127.8	69.3	-0.21651896563890094	3.2494	1147.7	0.001	0.217	0.0205	0.000018
[1, 1, -2, 1.8726]	prismatic_m	1	c	1	-1 0 1 0	0 0 0 1	127.8	45.0	-0.4330127011658937	5.2054	2121.8	0.001	0.433	0.0160	0.000008
[1, 1, -2, 1.8726]	prismatic_m	1	\frac{a}{3}+c	1	-1 0 1 0	-1 2 -1 1	127.8	49.8	-0.39495905520005414	11.050954366026494	N/A	N/A	0.395	0.0032	N/A
[1, 1, -2, 1.8726]	prismatic_m	1	\frac{a}{3}+c	2	-1 0 1 0	-1 2 -1 -1	127.8	91.2	0.012970294611900923	11.050954366026494	N/A	N/A	0.013	0.0001	N/A
[1, 1, -2, 1.8726]	prismatic_m	1	a+c	1	-1 0 1 0	-1 2 -1 3	127.8	38.1	-0.48197399304386157	6.1363498531293015	N/A	N/A	0.482	0.0128	N/A
[1, 1, -2, 1.8726]	prismatic_m	1	a+c	2	-1 0 1 0	-1 2 -1 -3	127.8	114.4	0.2526661003178805	6.1363498531293015	N/A	N/A	0.253	0.0067	N/A
[1, 1, -2, 1.8726]	prismatic_m	2	a	3	0 -1 1 0	-2 1 1 0	127.8	110.7	0.21651896563890094	3.2494	1147.7	0.001	0.217	0.0205	0.000018
[1, 1, -2, 1.8726]	prismatic_m	2	c	1	0 -1 1 0	0 0 0 1	127.8	45.0	-0.4330127011658937	5.2054	2121.8	0.001	0.433	0.0160	0.000008
[1, 1, -2, 1.8726]	prismatic_m	2	\frac{a}{3}+c	5	0 -1 1 0	-2 1 1 1	127.8	88.8	-0.012970294611900923	11.050954366026494	N/A	N/A	0.013	0.0001	N/A
[1, 1, -2, 1.8726]	prismatic_m	2	\frac{a}{3}+c	6	0 -1 1 0	-2 1 1 -1	127.8	130.2	0.39495905520005414	11.050954366026494	N/A	N/A	0.395	0.0032	N/A
[1, 1, -2, 1.8726]	prismatic_m	2	a+c	5	0 -1 1 0	-2 1 1 3	127.8	65.6	-0.2526661003178805	6.1363498531293015	N/A	N/A	0.253	0.0067	N/A
[1, 1, -2, 1.8726]	prismatic_m	2	a+c	6	0 -1 1 0	-2 1 1 -3	127.8	141.9	0.48197399304386157	6.1363498531293015	N/A	N/A	0.482	0.0128	N/A
[1, 1, -2, 1.8726]	prismatic_a	1	b	1	-1 2 -1 0	-1 0 1 0	69.3	127.8	-0.21651896563890094	5.6281258941143095	2307.7	0.001	0.217	0.0068	0.000003
